block,style,policy,default_uid,style_uid,offset_ms,tol_ms,f1,hits,twice_hits,den,default_cuts,style_cuts,default_total,style_total,phone_null_f1,grid_f1,word_warp_f1,duration_warp_f1,strict_phone_sequence
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3407,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.8260869565217391,19,38,46,21,25,21,25,,,0.8695652173913043,0.7391304347826086,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3407,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.6956521739130435,16,32,46,21,25,21,25,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3407,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.8260869565217391,19,38,46,21,25,21,25,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3409,ex01_default_00279,ex01_sad_00279,0.0,20.0,0.6818181818181818,15,30,44,22,22,22,22,0.42613636363636365,0.28449612403100777,0.6818181818181818,0.36363636363636365,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3409,ex01_default_00279,ex01_sad_00279,0.0,40.0,0.8181818181818182,18,36,44,22,22,22,22,,,0.8181818181818182,0.6363636363636364,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3409,ex01_default_00279,ex01_sad_00279,12.5,20.0,0.7272727272727273,16,32,44,22,22,22,22,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,sad,emotion_3409,ex01_default_00279,ex01_sad_00279,12.5,40.0,0.8181818181818182,18,36,44,22,22,22,22,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,asr_3408,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.8478260869565217,39,78,92,45,47,45,47,0.5451086956521739,0.49047497446373844,0.6521739130434783,0.5217391304347826,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,asr_3408,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.9565217391304348,44,88,92,45,47,45,47,,,0.9565217391304348,0.782608695652174,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,asr_3408,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.8913043478260869,41,82,92,45,47,45,47,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,asr_3408,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.9565217391304348,44,88,92,45,47,45,47,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3408,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.6976744186046512,15,30,43,23,20,23,20,0.44302325581395346,0.23455284552845526,0.46511627906976744,0.27906976744186046,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3408,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.8372093023255814,18,36,43,23,20,23,20,,,0.7906976744186046,0.5116279069767442,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3408,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.7441860465116279,16,32,43,23,20,23,20,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3408,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.8372093023255814,18,36,43,23,20,23,20,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408_last,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.7241379310344828,21,42,58,29,29,29,29,0.45862068965517244,0.2857142857142857,0.4827586206896552,0.2413793103448276,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408_last,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.9310344827586207,27,54,58,29,29,29,29,,,0.8620689655172413,0.5862068965517241,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408_last,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.6896551724137931,20,40,58,29,29,29,29,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,intent_3408_last,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.9310344827586207,27,54,58,29,29,29,29,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408_last,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.8571428571428571,9,18,21,9,12,9,12,0.4023809523809524,0.12642857142857145,0.2857142857142857,0.0,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408_last,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.8571428571428571,9,18,21,9,12,9,12,,,0.7619047619047619,0.09523809523809523,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408_last,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.8571428571428571,9,18,21,9,12,9,12,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,speaker_count_3408_last,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.8571428571428571,9,18,21,9,12,9,12,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3407,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.8181818181818182,18,36,44,21,23,21,23,0.4465909090909091,0.25404208194905875,0.45454545454545453,0.22727272727272727,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3407,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.9545454545454546,21,42,44,21,23,21,23,,,0.8636363636363636,0.6363636363636364,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3407,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.9090909090909091,20,40,44,21,23,21,23,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3407,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.9545454545454546,21,42,44,21,23,21,23,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3409,ex01_default_00279,ex01_confused_00279,0.0,20.0,0.75,15,30,40,22,18,22,18,0.4575,0.1930229419703104,0.55,0.1,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3409,ex01_default_00279,ex01_confused_00279,0.0,40.0,0.9,18,36,40,22,18,22,18,,,0.85,0.5,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3409,ex01_default_00279,ex01_confused_00279,12.5,20.0,0.8,16,32,40,22,18,22,18,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,emotion_3409,ex01_default_00279,ex01_confused_00279,12.5,40.0,0.9,18,36,40,22,18,22,18,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,asr_3408,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.8,36,72,90,45,45,45,45,0.5022222222222222,0.5202619620422346,0.6888888888888889,0.5333333333333333,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,asr_3408,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.9333333333333333,42,84,90,45,45,45,45,,,0.8888888888888888,0.6888888888888889,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,asr_3408,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.7777777777777778,35,70,90,45,45,45,45,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,asr_3408,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.9333333333333333,42,84,90,45,45,45,45,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3408,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.6666666666666666,15,30,45,23,22,23,22,0.41,0.25554968287526425,0.5777777777777777,0.13333333333333333,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3408,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.7555555555555555,17,34,45,23,22,23,22,,,0.7111111111111111,0.3111111111111111,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3408,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.6222222222222222,14,28,45,23,22,23,22,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3408,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.8,18,36,45,23,22,23,22,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,intent_3408_last,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.6984126984126984,22,44,63,29,34,29,34,0.43571428571428567,0.42226775956284157,0.6349206349206349,0.2857142857142857,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,intent_3408_last,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.8571428571428571,27,54,63,29,34,29,34,,,0.8253968253968254,0.5714285714285714,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,intent_3408_last,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.6984126984126984,22,44,63,29,34,29,34,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,intent_3408_last,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.8888888888888888,28,56,63,29,34,29,34,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,speaker_count_3408_last,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.6666666666666666,7,14,21,9,12,9,12,0.36190476190476184,0.13166666666666668,0.5714285714285714,0.0,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,speaker_count_3408_last,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.8571428571428571,9,18,21,9,12,9,12,,,0.7619047619047619,0.0,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,speaker_count_3408_last,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.6666666666666666,7,14,21,9,12,9,12,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,speaker_count_3408_last,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.7619047619047619,8,16,21,9,12,9,12,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3407,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.7659574468085106,18,36,47,21,26,21,26,0.4074468085106383,0.3054589371980676,0.5531914893617021,0.2978723404255319,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3407,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.8085106382978723,19,38,47,21,26,21,26,,,0.6808510638297872,0.5957446808510638,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3407,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.723404255319149,17,34,47,21,26,21,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3407,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.851063829787234,20,40,47,21,26,21,26,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3409,ex01_default_00279,ex01_whisper_00279,0.0,20.0,0.8,18,36,45,22,23,22,23,0.39777777777777773,0.2813953488372093,0.5777777777777777,0.2222222222222222,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3409,ex01_default_00279,ex01_whisper_00279,0.0,40.0,0.8444444444444444,19,38,45,22,23,22,23,,,0.8,0.4,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3409,ex01_default_00279,ex01_whisper_00279,12.5,20.0,0.7111111111111111,16,32,45,22,23,22,23,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,whisper,emotion_3409,ex01_default_00279,ex01_whisper_00279,12.5,40.0,0.8444444444444444,19,38,45,22,23,22,23,,,,,True
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,asr_3408,ex01_default_00279,ex01_laughing_00279,0.0,20.0,0.5,21,42,84,43,41,45,56,0.4488095238095238,0.4875768967874231,0.4186046511627907,0.39603960396039606,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,asr_3408,ex01_default_00279,ex01_laughing_00279,0.0,40.0,0.7380952380952381,31,62,84,43,41,45,56,,,0.6511627906976745,0.6336633663366337,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,asr_3408,ex01_default_00279,ex01_laughing_00279,12.5,20.0,0.4578313253012048,19,38,83,43,40,45,56,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,asr_3408,ex01_default_00279,ex01_laughing_00279,12.5,40.0,0.6265060240963856,26,52,83,43,40,45,56,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,emotion_3408,ex01_default_00279,ex01_laughing_00279,0.0,20.0,0.3684210526315789,7,14,38,22,16,23,22,0.28815789473684206,0.20472543972543972,0.20512820512820512,0.26666666666666666,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,emotion_3408,ex01_default_00279,ex01_laughing_00279,0.0,40.0,0.47368421052631576,9,18,38,22,16,23,22,,,0.358974358974359,0.5333333333333333,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,emotion_3408,ex01_default_00279,ex01_laughing_00279,12.5,20.0,0.3684210526315789,7,14,38,22,16,23,22,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,emotion_3408,ex01_default_00279,ex01_laughing_00279,12.5,40.0,0.47368421052631576,9,18,38,22,16,23,22,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,intent_3408_last,ex01_default_00279,ex01_laughing_00279,0.0,20.0,0.37735849056603776,10,20,53,28,25,29,36,0.30754716981132074,0.312827531012405,0.2222222222222222,0.24615384615384617,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,intent_3408_last,ex01_default_00279,ex01_laughing_00279,0.0,40.0,0.6415094339622641,17,34,53,28,25,29,36,,,0.48148148148148145,0.5846153846153846,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,intent_3408_last,ex01_default_00279,ex01_laughing_00279,12.5,20.0,0.33962264150943394,9,18,53,28,25,29,36,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,intent_3408_last,ex01_default_00279,ex01_laughing_00279,12.5,40.0,0.6415094339622641,17,34,53,28,25,29,36,,,,,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,speaker_count_3408_last,ex01_default_00279,ex01_laughing_00279,0.0,20.0,0.23529411764705882,2,4,17,8,9,9,14,0.17352941176470588,0.146968954248366,0.3333333333333333,0.17391304347826086,False
ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,speaker_count_3408_last,ex01_default_00279,ex01_laughing_00279,0.0,40.0,0.47058823529411764,4,8,17,8,9,9,14,,,0.3333333333333333,0.2608695652173913,False
