uid,block,style,policy,cuts,hz
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,emotion_3408,12,3.2688983184032687
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,intent_3408_last,20,5.2805280528052805
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,speaker_count_3408_last,9,2.5145371680025144
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,emotion_3407,15,4.0232594688040235
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,emotion_3409,13,3.52035203520352
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,intent_3408,30,7.795065220807794
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,speaker_count_3408,28,7.292157787207292
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,asr_3408,62,9.291093270409528
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,emotion_3408,37,5.604151496437493
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,intent_3408_last,47,7.078928206026307
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,speaker_count_3408_last,15,2.3596427353421023
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,emotion_3407,39,5.899106838355255
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,emotion_3409,33,5.014240812601967
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,intent_3408,62,9.291093270409528
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,speaker_count_3408,60,8.996137928491764
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,asr_3408,41,8.383233532934133
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,emotion_3408,20,4.1916167664670665
