uid,block,policy,retained,lag_ms,envelope_sum,n
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,0,10.310630027956316,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,20,9.848532227884409,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,40,9.636009288792279,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,60,9.307911856042795,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,80,8.656622865498509,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,0,100,7.7289844029025945,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,-100,6.273660525559586,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,-80,6.221360550677828,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,-60,6.28161587235434,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,-40,6.3820934763744415,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,-20,6.608083339143855,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,0,6.835196492496556,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,20,6.644687927735116,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,40,5.9552597013644135,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,60,5.248812822679295,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,80,4.8897878428150925,11
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3409,1,100,4.843272923163132,11
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,-100,9.871886012329258,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,-80,10.451894780906244,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,-60,10.531425004446717,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,-40,10.280381425384764,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,-20,9.973822996484607,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,0,9.73731531297344,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,20,9.405144495835252,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,40,8.80809125211156,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,60,8.117240337939721,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,80,7.520539462508504,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,0,100,7.116545516409047,16
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,1,-100,10.491234715347725,17
